"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","99.4755172729492","100","99.4818725585938","99.8281784057617","100","99.8344421386719","99.5008316040039","","","","","","","","",
"Afghanistan","AFG","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4864196777344","","","","","","","","","",
"Albania","ALB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9208068847656","","",
"Andorra","AND","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6983108520508","94.0941619873047","92.5270080566406","92.1109390258789","93.203369140625","93.1978378295898","90.568733215332","85.7071075439453","84.5656814575195","86.9144973754883","86.7227325439453","86.1034698486328","86.5415496826172","86.8175964355469","84.9974517822266","",
"United Arab Emirates","ARE","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8508605957031","59.9652290344238","","","","","","","100","100","100","100","100","","","","",
"Argentina","ARG","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.3256301879883","","","","","66.6566390991211","77.4559631347656","","","","","","","","","","","","","","73.6243896484375","",
"American Samoa","ASM","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9064712524414","","","","","","","67.286247253418","52.8888893127441","57.1222991943359","54.7523384094238","64.8395690917969","60.1324501037598","","70.1680679321289","65.2916107177734","","55.1515197753906","52.8186302185059","","",
"Australia","AUS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9755477905273","99.9332809448242","99.9432373046875","100","99.6254577636719","99.818962097168","99.9763336181641","99.9814071655273","99.9977264404297","99.9408721923828","99.9163513183594","99.979362487793","99.9884414672852","99.9927215576172","99.5684204101563","99.3514099121094","99.2799377441406","","98.0378189086914","99.5214309692383","99.8314895629883","",
"Burundi","BDI","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5099792480469","","87.4158630371094","","91.1890563964844","","94.1818923950195","94.9871597290039","","92.1513366699219","100","100","100","100","100","",
"Belgium","BEL","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.6981887817383","64.9971771240234","","","77.9996032714844","72.1768417358398","","","","","40.3982200622559","42.631031036377","46.8895606994629","","","67.59375","69.09716796875","70.4166107177734","68.2663497924805","70.4254608154297","71.2228927612305","",
"Burkina Faso","BFA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4177398681641","","86.8469772338867","89.4923477172852","88.2582168579102","86.9417572021484","87.6678924560547","87.6603927612305","86.1144638061523","","","94.8324813842773","85.5863876342773","84.3585968017578","85.4200134277344","73.193733215332","85.8375625610352","87.5757293701172","88.5932464599609","",
"Bangladesh","BGD","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4021987915039","51.4322395324707","55.9990005493164","54.3633308410645","58.4075317382813","","57.7341499328613","","","","47.5789985656738","50.4313201904297","50.4312705993652","","","",
"Bulgaria","BGR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3359832763672","82.0623397827148","82.194221496582","82.7675399780273","82.4818267822266","83.6934280395508","83.7441101074219","100","100","",
"Bahamas, The","BHS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4372406005859","","","95.1207504272461","","91.5348815917969","","88.8222732543945","94.4628067016602","91.0844421386719","84.4204177856445","91.548713684082","94.2885818481445","94.4308395385742","87.4098663330078","81.4687271118164","89.6463012695313","90.0682830810547","89.6463012695313","89.782470703125","","",
