Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.4950408935547,84.4149475097656,85.6253280639648,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Albania,ALB,96.3939437866211,..,94.4481735229492,93.4377975463867,..,..,96.1924133300781,92.3935928344727,91.0514907836914,88.8362426757813,92.9826583862305,98.6721267700195,89.539176940918,100.984718322754,98.8615875244141,99.8815536499023,101.983703613281,101.537857055664,103.322746276855,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Algeria,DZA,86.2977905273438,88.0822982788086,89.7199172973633,91.3253021240234,93.0753936767578,83.62890625,94.3985137939453,112.97664642334,91.8822631835938,95.6169967651367,97.6362991333008,101.552879333496,106.031677246094,108.391578674316,105.546722412109,105.590049743652,105.636711120605,105.14395904541,101.364631652832,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Angola,AGO,..,..,..,..,..,..,..,39.1970100402832,38.7875785827637,39.8072090148926,46.1871490478516,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,110.554801940918,101.263298034668,106.60994720459,103.676948547363,..,..,111.150321960449,92.5554809570313,..,98.1857833862305,96.1988296508789,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Argentina,ARG,96.821662902832,100.515830993652,98.1679382324219,96.579948425293,94.6418304443359,97.1024780273438,99.8678207397461,103.14217376709,103.303871154785,103.567413330078,103.887710571289,103.352249145508,101.645011901855,103.106437683105,102.973739624023,103.893569946289,99.962760925293,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Armenia,ARM,..,93.7057571411133,89.271110534668,100.047470092773,92.6915817260742,93.8112106323242,102.069709777832,105.792892456055,..,94.495231628418,93.808967590332,93.851692199707,..,96.652229309082,94.5906372070313,90.7516098022461,91.9877090454102,89.8789596557617,93.1385192871094,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Aruba,ABW,94.4040679931641,94.755241394043,90.2159194946289,90.5598983764648,88.1979675292969,93.1861190795898,95.5882415771484,95.1330337524414,96.2425765991211,94.7861022949219,..,..,96.5706405639648,101.180557250977,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Austria,AUT,..,100.222198486328,..,98.7443008422852,..,..,..,..,..,..,96.7720184326172,96.693717956543,97.6060104370117,98.6918487548828,100.37378692627,99.6567230224609,99.4531784057617,99.8130035400391,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Azerbaijan,AZE,95.1685791015625,97.5860137939453,92.6961517333984,95.5954284667969,93.4306182861328,91.6054306030273,98.13037109375,90.7368316650391,91.7717208862305,89.5144500732422,92.8068313598633,91.9911880493164,88.0894088745117,98.1257095336914,103.280212402344,111.301910400391,107.172172546387,100.219947814941,100.383338928223,..
